SL,State / UT,2019,2020,2021
1,Andhra Pradesh,902,737,835
2,Arunachal Pradesh,117,78,85
3,Assam,9432,6934,7580
4,Bihar,10707,7889,10198
5,Chhattisgarh,2638,2008,2681
6,Goa,71,45,52
7,Gujarat,1813,1198,1621
8,Haryana,4023,2949,3554
9,Himachal Pradesh,455,343,430
10,Jharkhand,1814,1564,1767
11,Karnataka,3080,2253,2879
12,Kerala,386,307,364
13,Madhya Pradesh,9812,7320,9511
14,Maharashtra,11755,8103,10502
15,Manipur,129,81,85
16,Meghalaya,130,91,123
17,Mizoram,5,3,2
18,Nagaland,64,24,48
19,Odisha,4748,4179,5625
20,Punjab,1798,1399,1787
21,Rajasthan,8058,6234,7717
22,Sikkim,51,32,39
23,Tamil Nadu,898,765,821
24,Telangana,2127,2056,2760
25,Tripura,166,127,136
26,Uttar Pradesh,16590,12913,14554
27,Uttarakhand,967,768,819
28,West Bengal,5190,9309,8339
,,,,
,,,,
,,,,
,,,,
,,,,
